msisdn,offer_tag,HS_AON,NW_AON,HS_BRAND,HS_BAND,HS_TYPE,Price,data_80_limit_breach,fup_limit_breach,data_usage_level,bundle_consistency,vowifi_mous,customer_age,cricket_cohort_tag,ir_roamer_tag,bb_tag,dth_tag,other_recharge,GENDER_L1,Category,GEO_TAG,AGE_BUCKET,AI_MASTER,NATIONAL_ROAMER,CWE,Digital_Savvy,OTT_LOVER
9858477938,979,52,77,OnePlus,5G,Smartphone,40895,4.7,2.35,Medium,Low,104,Young,0,0,1,0,1,Male,Homemaker,Urban,26-35,0,0,0,1,1
9898685088,349,24,101,Realme,4G,Smartphone,8754,8.28,0.93,Very High,Low,123,Young,0,1,0,0,1,Female,Salaried,Rural,26-35,0,1,0,0,0
9897891756,3999,60,97,Apple,4G,Feature Phone,137492,2.91,3.55,Low,Medium,79,Young,0,0,1,1,1,Female,Homemaker,Metro,18-25,0,1,1,0,0
9851253867,399,55,86,Oppo,5G,Smartphone,33907,6.92,3.8,Low,Medium,422,Senior,1,1,0,0,1,Female,Student,Metro,36-45,0,0,1,1,0
9837710679,349,57,46,Xiaomi,5G,Feature Phone,13315,6.38,3.97,Low,Low,74,Adult,0,0,1,0,0,Male,Salaried,Rural,60+,0,1,0,1,1
9829899306,349,51,101,Vivo,5G,Feature Phone,18290,0.47,3.87,Medium,Medium,455,Young,1,1,0,1,0,Male,Salaried,Urban,18-25,1,0,1,0,1
9889973930,349,32,101,Oppo,5G,Smartphone,11255,6.94,2.86,Low,Medium,270,Adult,0,0,0,0,0,Female,Salaried,Urban,18-25,0,1,0,1,0
9876764742,979,30,73,Samsung,4G,Feature Phone,48066,3.9,1.06,Low,Low,37,Adult,1,0,0,0,1,Female,Homemaker,Metro,36-45,1,0,1,1,1
9895645814,349,33,10,Vivo,4G,Smartphone,11462,9.18,0.32,Medium,Medium,227,Senior,1,1,1,1,0,Male,Business,Urban,36-45,0,0,1,0,0
9813355351,349,24,82,Realme,5G,Smartphone,16453,2.11,4.6,High,Medium,170,Adult,1,0,0,0,0,Female,Homemaker,Rural,36-45,1,1,0,0,1
9831867172,3999,46,30,Apple,4G,Smartphone,77780,2.62,3.47,Medium,Low,441,Young,1,0,0,0,0,Female,Salaried,Metro,36-45,0,0,1,1,1
9824377540,349,29,114,Vivo,5G,Smartphone,12313,1.25,2.51,Very High,High,258,Young,1,0,1,1,0,Male,Business,Rural,60+,0,1,1,0,1
9875314070,349,43,52,Realme,4G,Feature Phone,14374,6.12,1.7,Low,High,383,Adult,0,1,1,0,0,Female,Business,Rural,60+,1,0,0,0,0
9857448368,349,28,15,Realme,4G,Smartphone,11317,3.26,3.82,High,High,437,Senior,0,0,0,0,1,Male,Business,Urban,60+,0,0,1,1,1
9877370919,349,11,104,Xiaomi,4G,Feature Phone,11570,7.34,4.74,Low,Low,121,Adult,1,1,0,0,0,Female,Student,Urban,26-35,0,1,1,0,0
9879311382,349,25,120,Vivo,4G,Feature Phone,15590,3.27,3.53,Medium,Medium,500,Adult,1,0,1,1,0,Male,Homemaker,Rural,60+,0,1,0,0,0
9841382878,349,34,106,Vivo,5G,Smartphone,19149,7.82,0.69,High,Medium,174,Adult,1,1,1,0,0,Female,Salaried,Rural,18-25,1,0,0,1,1
9868778807,3999,17,80,Samsung,4G,Smartphone,89921,7.33,1.48,Medium,Low,194,Senior,1,1,0,0,1,Female,Student,Metro,46-60,0,1,0,1,1
9881300151,3999,27,9,Apple,5G,Feature Phone,109857,8.91,4.9,Very High,Medium,431,Adult,1,1,1,0,1,Male,Student,Metro,18-25,1,1,0,0,0
9813212401,349,59,83,Xiaomi,5G,Feature Phone,12739,3.38,4.89,Medium,Medium,245,Senior,0,0,0,1,1,Female,Salaried,Rural,46-60,0,0,1,1,1
9825932776,979,56,26,Samsung,4G,Smartphone,38973,1.54,4.57,Very High,Medium,465,Senior,0,1,1,1,1,Male,Student,Urban,18-25,0,1,1,0,0
9882183558,349,23,15,Oppo,4G,Feature Phone,15179,6.02,4.43,Very High,Low,67,Young,0,1,0,0,1,Female,Salaried,Rural,46-60,1,0,1,0,1
9810906019,979,17,97,OnePlus,5G,Smartphone,58624,9.92,2.18,Very High,Low,318,Adult,1,0,0,1,0,Female,Business,Metro,36-45,1,1,1,0,1
9845823116,3999,11,114,Apple,5G,Smartphone,142777,0.04,2.23,Very High,Low,83,Senior,0,0,0,0,0,Male,Homemaker,Metro,18-25,0,0,0,1,1
9853008317,979,50,6,OnePlus,4G,Feature Phone,53041,9.47,0.16,Very High,Low,498,Adult,1,1,0,1,1,Male,Homemaker,Urban,60+,1,1,0,0,1
9813598323,399,12,90,OnePlus,4G,Smartphone,21815,0.12,3.32,Low,Medium,484,Senior,1,0,0,0,0,Male,Student,Metro,36-45,0,1,0,1,0
9893514709,349,51,105,Vivo,5G,Feature Phone,19962,4.81,0.23,Low,High,350,Senior,1,1,0,0,1,Female,Homemaker,Rural,60+,0,0,1,1,1
9810260201,399,26,25,Oppo,4G,Feature Phone,32961,5.16,4.49,Very High,High,94,Senior,0,0,1,1,1,Male,Homemaker,Metro,46-60,0,0,0,0,0
9815377603,349,42,110,Xiaomi,4G,Feature Phone,14033,2.5,2.9,Low,Low,54,Senior,1,0,1,0,0,Male,Business,Urban,26-35,0,0,1,1,1
9875025428,349,28,105,Xiaomi,5G,Feature Phone,10072,3.94,3.12,Medium,Medium,349,Adult,1,0,1,1,1,Female,Student,Urban,60+,1,1,1,1,0
9869705711,3999,21,94,Apple,4G,Feature Phone,139387,5.23,0.71,Very High,Medium,161,Senior,1,1,1,0,1,Female,Salaried,Metro,18-25,0,0,1,1,0
9821679887,349,6,39,Xiaomi,5G,Smartphone,17623,4.8,2.41,Medium,High,183,Young,0,1,1,0,0,Male,Homemaker,Urban,26-35,1,0,0,1,0
9833934064,349,50,10,Realme,5G,Smartphone,9133,5.25,2.66,High,High,353,Adult,0,1,0,0,1,Male,Student,Urban,36-45,0,0,1,1,1
9834787523,3999,9,7,Samsung,4G,Feature Phone,110736,7.96,4.51,High,Medium,163,Young,0,1,0,0,0,Female,Student,Metro,60+,0,1,0,0,0
9867793127,3999,6,29,Samsung,4G,Feature Phone,105825,4.76,0.91,Low,Medium,146,Adult,0,1,1,1,1,Female,Homemaker,Metro,60+,1,1,0,0,1
9857713656,3999,51,90,Samsung,4G,Smartphone,149866,7.94,4.0,Low,Low,229,Young,1,0,1,1,1,Female,Student,Metro,36-45,0,1,1,0,1
9881058437,399,42,56,Vivo,4G,Feature Phone,27639,0.56,3.76,High,Medium,369,Young,0,1,0,1,1,Male,Salaried,Urban,36-45,1,0,1,1,0
9834370060,349,59,108,Oppo,5G,Smartphone,21818,2.0,0.4,Very High,Medium,148,Young,1,0,0,0,0,Female,Student,Urban,18-25,0,0,1,0,0
9818506649,399,10,44,Samsung,5G,Feature Phone,29744,5.49,2.88,Low,High,117,Senior,0,1,0,1,1,Male,Student,Urban,18-25,0,1,0,1,0
9838485036,349,13,96,Xiaomi,5G,Smartphone,11453,3.9,1.06,Very High,Medium,386,Adult,0,1,1,1,1,Female,Student,Rural,46-60,1,1,0,0,0
9880200038,979,33,119,Apple,5G,Smartphone,33935,9.9,0.72,Very High,Medium,151,Young,0,0,0,1,0,Female,Salaried,Metro,18-25,1,0,1,1,1
9867891703,349,58,108,Vivo,4G,Smartphone,9053,9.97,3.94,Very High,High,74,Adult,1,1,1,1,0,Male,Student,Rural,36-45,0,1,0,0,0
9831483875,979,25,95,Apple,4G,Feature Phone,32258,0.31,0.67,High,High,303,Senior,0,0,1,1,0,Male,Salaried,Urban,18-25,0,0,1,0,1
9892706799,979,54,94,Apple,4G,Feature Phone,38944,9.51,1.78,High,Medium,166,Young,1,1,0,0,1,Male,Salaried,Urban,36-45,0,0,0,0,0
9858351794,349,45,13,Oppo,4G,Feature Phone,9122,2.64,1.9,Low,Medium,106,Young,1,0,1,0,0,Male,Salaried,Rural,60+,0,1,0,0,1
9843776492,3999,18,48,Samsung,4G,Smartphone,125977,7.86,3.35,Very High,Low,293,Senior,1,0,0,1,1,Female,Salaried,Metro,60+,0,0,0,0,0
9835744207,1729,53,120,Samsung,5G,Feature Phone,64950,3.6,1.13,Low,Low,238,Adult,0,1,0,0,0,Female,Salaried,Metro,36-45,1,0,0,1,1
9825322205,349,45,96,Vivo,5G,Smartphone,13105,6.52,4.86,Very High,Low,467,Senior,0,1,1,1,0,Male,Homemaker,Rural,46-60,1,1,0,0,1
9843175543,349,12,19,Realme,4G,Smartphone,8142,2.91,2.5,Very High,Medium,326,Young,0,0,1,1,0,Male,Business,Rural,26-35,1,0,1,0,0
9830881337,349,29,30,Realme,4G,Smartphone,11720,1.59,3.29,High,Low,337,Adult,1,1,0,0,0,Male,Salaried,Rural,18-25,1,1,1,1,1
9821404220,399,16,96,Oppo,4G,Smartphone,27697,4.76,2.3,Very High,Medium,87,Young,1,1,1,1,0,Female,Business,Urban,46-60,0,1,0,0,0
9866353428,979,57,44,Samsung,4G,Smartphone,51096,7.27,2.16,High,Medium,278,Young,0,1,0,1,0,Male,Business,Metro,18-25,0,1,1,0,0
9848433788,979,31,79,Samsung,5G,Feature Phone,45591,5.03,3.36,Medium,Medium,114,Adult,1,1,1,1,1,Female,Business,Metro,60+,0,0,1,0,1
